# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	1232
#@/user_id	0d90e8fd-639f-4407-8fdd-d537bd562bce
a r c h 	Arch	c=1 d=0.770153 t=1232
yan ge 	嚴格	c=0 d=0.1 t=332
yan jin 	嚴謹	c=1 d=1.08511 t=959
yan jiu 	研究	c=2 d=1.51944 t=1079
yan jiu sheng 	研究生	c=1 d=0.891366 t=1232
yan suan 	演算	c=1 d=1 t=631
yan yong 	沿用	c=1 d=1 t=388
yao lan 	搖籃	c=1 d=1 t=379
yao qiu 	要求	c=1 d=1 t=1106
ye 	也	c=2 d=1.60351 t=1060
ye bu yuan 	也不願	c=1 d=1 t=344
ye neng gou 	也能夠	c=1 d=1 t=778
ye shi 	也是	c=1 d=1 t=464
yi 	一	c=1 d=1 t=135
yi 	以	c=2 d=1.28224 t=786
yi 	易	c=1 d=1 t=792
yi ban 	一般	c=1 d=1 t=795
yi ban lai shuo 	一般來說	c=1 d=1 t=985
yi ban ren 	一般人	c=1 d=1 t=777
yi dong 	移動	c=1 d=0.650509 t=1232
yi feng 	一封	c=1 d=1 t=449
yi ge 	一個	c=8 d=3.16593 t=1198
yi kao 	依靠	c=1 d=0.900325 t=1232
yi lai 	以來	c=2 d=1.6942 t=373
yi qi 	儀器	c=1 d=0.20383 t=1154
yi qi ke xue 	儀器科學	c=1 d=1 t=1155
yi quan chao ren 	一拳超人	c=1 d=1 t=248
yi ren 	一人	c=1 d=1 t=150
yi shang 	以上	c=1 d=1 t=1183
yi xi lie 	一系列	c=1 d=1 t=625
yi xie 	一些	c=3 d=1.12946 t=1167
yi zhi 	一直	c=1 d=1 t=301
yi zhi shi 	一直是	c=1 d=1 t=376
yi zhong 	一種	c=4 d=3.44079 t=990
yi zu 	一組	c=1 d=1 t=675
yin 	因	c=1 d=1 t=356
yin yong 	引用	c=1 d=1 t=549
ying dang 	應當	c=1 d=1 t=524
ying de rong yu 	贏得榮譽	c=1 d=1 t=442
ying xiang 	影響	c=1 d=1 t=113
ying yong 	應用	c=1 d=0.66365 t=1232
yo 	喲	c=1 d=1 t=115
yong 	用	c=4 d=1.38575 t=1199
yong you 	擁有	c=2 d=1.03725 t=997
yong yu 	用於	c=2 d=1.956 t=923
you 	又	c=1 d=1 t=487
you 	有	c=8 d=2.04177 t=1197
you hua 	優化	c=1 d=1 t=950
you lie 	優劣	c=1 d=1 t=655
you qiong 	有穷	c=1 d=1 t=676
you qu 	有趣	c=1 d=1 t=180
you que dian 	優缺點	c=1 d=1 t=588
you shi 	有事	c=0 d=0.0869358 t=1232
you xian 	有限	c=2 d=1.91851 t=1181
you xiu 	優秀	c=1 d=1 t=318
you xiu de 	優秀的	c=1 d=1 t=1096
you xiu ren cai 	優秀人才	c=1 d=1 t=383
you yu qi 	由於其	c=1 d=1 t=938
you zhe 	有着	c=3 d=2.07347 t=599
yu 	於	c=2 d=1.18825 t=806
yu 	與	c=12 d=4.17652 t=1156
yu fa 	愈發	c=1 d=1 t=276
yu fa 	語法	c=0 d=0.1 t=998
yu fa xi tong 	語法系統	c=1 d=1 t=999
yu shi 	於是	c=1 d=1 t=973
yu yan 	語言	c=5 d=2.25314 t=1014
yu yi 	語義	c=0 d=0.1 t=1101
yu yi ming que 	語義明確	c=1 d=1 t=1102
yuan liao 	原料	c=0 d=0.1 t=930
yuan liao jia gong 	原料加工	c=1 d=1 t=931
yuan quan 	源泉	c=1 d=1 t=362
yuan yuan liu chang 	淵遠流長	c=1 d=1 t=367
zai 	在	c=11 d=1.21686 t=1232
ze 	則	c=3 d=2.40042 t=824
zen yang 	怎樣	c=4 d=1.49766 t=1151
zeng jia 	增加	c=1 d=1 t=187
zhang hu 	賬戶	c=1 d=0.701173 t=1232
zhao dao 	找到	c=1 d=1 t=733
zhao hao 	找好	c=1 d=0.865022 t=1232
zhe 	者	c=0 d=0.1 t=1084
zhe 	這	c=4 d=1.39432 t=906
zhe bing bu shi 	這並不是	c=0 d=0.1 t=107
zhe li 	這裏	c=1 d=1 t=656
zhe xie 	這些	c=2 d=1.23224 t=943
zhen zheng 	真正	c=0 d=0.1 t=884
zhen zheng de 	真正的	c=1 d=1 t=531
zhen zheng han yi 	真正含義	c=1 d=1 t=885
zheng 	正	c=1 d=1 t=520
zheng fang xing 	正方形	c=1 d=0.923116 t=1232
zheng shi 	正是	c=2 d=1.46301 t=504
zheng shu 	證書	c=1 d=1 t=1220
zheng ze 	正則	c=1 d=1 t=255
zheng zheng shu 	正整數	c=1 d=1 t=819
zhi 	之	c=3 d=1.76334 t=536
zhi chu 	之處	c=1 d=1 t=310
zhi dao 	直到	c=2 d=1.91851 t=749
zhi dao 	知道	c=1 d=1 t=731
zhi guan 	直觀	c=1 d=1 t=958
zhi hu 	Zhihu	c=1 d=1 t=117
zhi ji 	之際	c=1 d=1 t=315
zhi jian 	之間	c=2 d=1.23457 t=1030
zhi wang 	知網	c=1 d=1 t=544
zhi yi 	之一	c=1 d=1 t=363
zhi you 	只有	c=2 d=1.00923 t=1086
zhong 	中	c=3 d=1.50229 t=1057
zhong 	種	c=1 d=1 t=348
zhong da 	重大	c=1 d=1 t=421
zhong da de 	重大的	c=1 d=1 t=600
zhong de 	中的	c=3 d=2.94638 t=935
zhong duan 	終端	c=1 d=0.759572 t=1232
zhong guo 	中國	c=1 d=1 t=543
zhong wen 	中文	c=4 d=2.39982 t=1232
zhong xue 	中學	c=0 d=0.1 t=252
zhong yao de 	重要的	c=1 d=1 t=429
zhou 	周	c=1 d=1 t=1148
zhu liu 	主流	c=0 d=0.1 t=1050
zhu liu de 	主流的	c=1 d=1 t=1051
zhu ru 	諸如	c=2 d=1.41686 t=629
zhu ti 	主題	c=4 d=1.01883 t=1226
zhu tui 	助推	c=0 d=0.1 t=468
zhu tui li 	助推力	c=1 d=1 t=469
zhu yao 	主要	c=2 d=0.895834 t=1232
zhuan xi 	轉系	c=1 d=1 t=244
zhuan ye 	專業	c=2 d=1.06266 t=799
zhuan yi fu 	轉義符	c=1 d=1 t=216
zhuan zhu yu 	專注於	c=1 d=1 t=1005
zhuang bei zhi zao 	裝備製造	c=1 d=1 t=415
zhun que 	準確	c=1 d=1 t=879
zhuo mian 	桌面	c=2 d=1.99005 t=1216
zi 	自	c=3 d=2.43448 t=368
zi dang 	自當	c=1 d=1 t=437
zi dong 	自動	c=1 d=1 t=604
zi dong ji 	自動機	c=1 d=1 t=1166
zi ji 	自己	c=2 d=1.42956 t=447
zi ran 	自然	c=2 d=1.31037 t=952
zi ran yu yan 	自然語言	c=15 d=4.31936 t=1200
zi ru 	自如	c=1 d=1 t=195
zi ti 	字體	c=2 d=0.960789 t=1232
zi xin 	自信	c=1 d=1 t=169
zong hui 	總會	c=1 d=1 t=120
zu gou de 	足夠的	c=1 d=1 t=474
zu guo 	祖國	c=4 d=2.86537 t=517
zui 	最	c=1 d=1 t=1087
zui you 	最優	c=0 d=0.1 t=1084
zui you zhe 	最優者	c=1 d=1 t=1085
zui zhong 	最終	c=1 d=1 t=395
zuo chu 	作出	c=1 d=1 t=445
zuo chu gong xian 	作出貢獻	c=1 d=1 t=514
zuo chu le 	作出了	c=1 d=1 t=326
zuo yong 	作用	c=3 d=2.21373 t=905
zuo zhe 	作者	c=2 d=1.98511 t=1048
